OBSERVATION COUNT,LATITUDE,LONGITUDE,OBSERVATION DATE
1,47.662576,-122.12052,6/26/13
1,47.65424,-122.29137,6/10/13
2,47.599951,-122.134904,6/24/13
2,47.662576,-122.12052,6/28/13
4,47.5597558,-122.0549817,6/11/13
8,47.5597558,-122.0549817,6/11/13
8,47.5597558,-122.0549817,6/11/13
2,47.599951,-122.134904,6/22/13
2,47.6829127,-121.9239418,7/12/13
1,47.662576,-122.12052,8/22/13
2,47.662576,-122.12052,8/22/13
6,47.662576,-122.12052,8/8/13
2,47.662576,-122.12052,8/8/13
3,47.658745,-122.4182162,9/7/13
2,47.6815336,-122.2505453,5/20/14
1,47.6815336,-122.2505453,5/26/14
2,47.6815336,-122.2505453,5/17/14
2,47.6815336,-122.2505453,5/17/14
2,47.6815336,-122.2505453,5/17/14
3,47.5597558,-122.0549817,5/25/14
1,47.662576,-122.12052,5/29/14
2,47.662576,-122.12052,6/19/14
11,47.6569618,-122.1146572,6/19/14
2,47.662576,-122.12052,6/19/14
2,47.662576,-122.12052,6/19/14
2,47.662576,-122.12052,6/25/14
5,47.6829127,-121.9239418,6/28/14
3,47.282537,-122.163529,6/28/14
1,47.662576,-122.12052,6/26/14
10,47.6545148,-122.1077304,6/14/14
3,47.6815336,-122.2505453,6/29/14
3,47.280744,-122.15191,6/28/14
8,47.6815336,-122.2505453,6/29/14
1,47.5063597,-121.7896271,6/14/14
1,47.662576,-122.12052,6/26/14
8,47.6815336,-122.2505453,6/29/14
1,47.392747,-121.474774,6/28/14
15,47.662576,-122.12052,6/16/14
1,47.662576,-122.12052,6/19/14
1,47.662576,-122.12052,6/26/14
3,47.2832758,-122.1547508,6/29/14
20,47.7565344,-122.2212031,7/20/14
1,47.662576,-122.12052,7/10/14
1,47.662576,-122.12052,7/10/14
1,47.65424,-122.29137,7/24/14
4,47.662576,-122.12052,7/23/14
1,47.662576,-122.12052,7/24/14
1,47.6804719,-122.250967,7/25/14
5,47.5416862,-121.8378156,7/29/14
1,47.662576,-122.12052,7/10/14
1,47.662576,-122.12052,7/3/14
1,47.6981686,-122.2101878,7/19/14
1,47.662576,-122.12052,7/3/14
1,47.662576,-122.12052,7/3/14
1,47.4497041,-121.4685562,8/16/14
1,47.662576,-122.12052,8/28/14
1,47.6815336,-122.2505453,8/22/14
1,47.5346906,-121.8586779,8/24/14
1,47.3284365,-122.2431564,8/28/14
10,47.6613144,-121.5774536,8/24/14
1,47.662576,-122.12052,8/28/14
1,47.7496256,-122.3593926,8/12/14
1,47.662576,-122.12052,8/28/14
1,47.658543,-122.1317053,8/27/14
3,47.5498262,-121.2464476,8/11/14
2,47.5597558,-122.0549817,8/13/14
1,47.651744,-122.1326065,8/27/14
2,47.5597558,-122.0549817,8/13/14
2,47.5597558,-122.0549817,8/13/14
1,47.662576,-122.12052,8/28/14
2,47.5597558,-122.0549817,8/13/14
2,47.5597558,-122.0549817,8/13/14
2,47.383744,-122.0254281,8/31/14
